state,ELECTORAL VOTES,ELECTORAL VOTES TRUMP (R),ELECTORAL VOTES HARRIS (D),DONALD J. TRUMP (R) POPULAR VOTE,KAMALA D. HARRIS (D) POPULAR VOTE,harris.share
AL,9,9,,1462616,772412,0.345593880703061
AK,3,3,,184458,140026,0.43153437457625
AZ,11,11,,1770242,1582860,0.472058410391333
AR,6,6,,759241,396905,0.343300067638516
CA,54,,54,6081697,9276179,0.604001425717983
CO,10,,10,1377441,1728159,0.556465417310665
CT,7,,7,736918,992053,0.573782324862592
DE,3,,3,214351,289758,0.574792356414982
DC,3,,3,21076,294185,0.933147455600281
FL,30,30,,6110125,4683038,0.433889305665077
GA,16,16,,2663117,2548017,0.488956338486019
HI,4,,4,193661,313044,0.617803258306115
ID,4,4,,605246,274972,0.312390794098735
IL,19,,19,2449079,3062863,0.555677654082717
IN,11,11,,1720347,1163603,0.403475441668545
IA,6,6,,927019,707278,0.432772011452019
KS,6,6,,758802,544853,0.417942630527248
KY,8,8,,1337494,704043,0.344859289838979
LA,8,8,,1208505,766870,0.388214895905841
ME,4,1,3,377977,435652,0.535443058199745
MD,10,,10,1035550,1902577,0.647547570271809
MA,11,,11,1251303,2126518,0.629553194204193
MI,15,15,,2816636,2736533,0.49278763171083
MN,10,,10,1519032,1656979,0.521717021760945
MS,6,6,,747744,466668,0.384274858944082
MO,10,10,,1751986,1200599,0.406626396869184
MT,4,4,,352079,231906,0.397109514799182
NE,5,4,1,564816,369995,0.395796583480511
NV,6,6,,751205,705197,0.484204910457415
NH,4,,4,395523,418488,0.514106074733634
NJ,14,,14,1968215,2220713,0.530138737166168
NM,5,,5,423391,478802,0.530709061143237
NY,28,,28,3578899,4619195,0.563447430585695
NC,16,16,,2898423,2715375,0.483696598986996
ND,3,3,,246505,112327,0.313035069336068
OH,17,17,,3180116,2533699,0.44343385286363
OK,7,7,,1036213,499599,0.325299580938292
OR,8,,8,919480,1240600,0.574330580348876
PA,19,19,,3543308,3423042,0.491368076539364
RI,4,,4,214406,285156,0.570812031339453
SC,9,9,,1483747,1028452,0.409383173864809
SD,3,3,,272081,146859,0.350549004630735
TN,11,11,,1966865,1056265,0.349394501725033
TX,40,40,,6393597,4835250,0.430609660991908
UT,6,6,,883818,562566,0.388946503833007
VT,3,,3,119395,235791,0.663852178858401
VA,13,,13,2074097,2333778,0.529456484133511
WA,12,,12,1530923,2245849,0.594647757397058
WV,4,4,,533556,214309,0.286561077199762
WI,10,10,,1697626,1668229,0.495633056088275
WY,3,3,,192633,69527,0.265208269758926
