stateabv,harris.share,fips
AL,0.345593880703061,1
AK,0.43153437457625,2
AZ,0.472058410391333,4
AR,0.343300067638516,5
CA,0.604001425717983,6
CO,0.556465417310665,8
CT,0.573782324862592,9
DE,0.574792356414982,10
DC,0.933147455600281,11
FL,0.433889305665077,12
GA,0.488956338486019,13
HI,0.617803258306115,15
ID,0.312390794098735,16
IL,0.555677654082717,17
IN,0.403475441668545,18
IA,0.432772011452019,19
KS,0.417942630527248,20
KY,0.344859289838979,21
LA,0.388214895905841,22
ME,0.535443058199745,23
MD,0.647547570271809,24
MA,0.629553194204193,25
MI,0.49278763171083,26
MN,0.521717021760945,27
MS,0.384274858944082,28
MO,0.406626396869184,29
MT,0.397109514799182,30
NE,0.395796583480511,31
NV,0.484204910457415,32
NH,0.514106074733634,33
NJ,0.530138737166168,34
NM,0.530709061143237,35
NY,0.563447430585695,36
NC,0.483696598986996,37
ND,0.313035069336068,38
OH,0.44343385286363,39
OK,0.325299580938292,40
OR,0.574330580348876,41
PA,0.491368076539364,42
RI,0.570812031339453,44
SC,0.409383173864809,45
SD,0.350549004630735,46
TN,0.349394501725033,47
TX,0.430609660991908,48
UT,0.388946503833007,49
VT,0.663852178858401,50
VA,0.529456484133511,51
WA,0.594647757397058,53
WV,0.286561077199762,54
WI,0.495633056088275,55
WY,0.265208269758926,56
